"Astrocaryum murumuru seed butter
A non-fragrant vegetable fat that's nearly solid at room temperature (much like dairy butter). It functions as an emollient ingreident that works to keep...
Categories: Emollients, Plant Extracts",GOOD,PC
"ATP
Categories: Skin-Soothing, Skin-Restoring",BEST,PC
"atractylodes macrocephala root powder
A natural plant extract commonly used in Chinese and Korean herbal medicines.
Categories: Antioxidants, Skin-Soothing, Plant Extracts",BEST,PC
"Atractyloydes lancea root extract
Also known as Chinese Thistle Daisy, this root extract is used in Chinese and Japanese alternative...
Categories: Plant Extracts",AVERAGE,PC
"Avena sativa
See oatmeal, oat bran extract, gluten ingredients…
Categories: Skin-Soothing, Plant Extracts",BEST,PC
"avobenzone
Synthetic sunscreen ingredient (also known as Parsol 1789 and butyl methoxydibenzoylmethane) that...
Categories: Sunscreen Actives",BEST,PC
"avocado oil
Emollient oil similar to other nonfragrant plant oils. It has antioxidant properties.
Categories: Antioxidants, Emollients",BEST,PC
"awapuhi
English name for wild ginger.
Categories: Plant Extracts",POOR,PC
"Azadirachta indica
Categories: Plant Extracts, Antioxidants",AVERAGE,PC
"azelaic acid
A type of acid known as a dicarboxylic acid derived from grains that offers numerous benefits when applied to skin.
Categories: Skin-Soothing, Antioxidants, Exfoliant",BEST,PC
"azelaoyl bis-dipeptide-10
Azelaoyl bis-dipeptide-10 is a synthetic peptide built around naturally-derived azelaic acid that offers brightening and antioxidant benefits.
Categories: Skin-Restoring",BEST,PC
"Azelex
Categories: Uncategorized",BEST,PC
"azuki beans
Legumes that are often ground up for use in skincare scrub products.
Categories: Scrub Agents",AVERAGE,PC
"azulene
Chamomile extract used primarily as a coloring agent in cosmetics. It can have antioxidant and...
Categories: Skin-Soothing, Plant Extracts, Antioxidants",AVERAGE,PC
"babassu oil
Babassu oil comes from the seed of the Orbignya oleifera plant, which is native to Brazil.
Categories: Plant Extracts, Emollients, Antioxidants",BEST,PC
"bakuchiol
An antioxidant found in the seeds and leaves of the plant Psoralea corylifolia...
Categories: Antioxidants, Plant Extracts",BEST,PC
"balm mint extract
Extract derived from a fragrant plant; it poses some risk of causing skin sensitivity…
Categories: Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",POOR,PC
"balsam peru
Fatty resin that when applied topically can cause skin sensitivity…
Categories: Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",POOR,PC
"Bambusa vulgaris (bamboo) leaf/stem extract
Extract from the common bamboo plant. Like many plant extracts, research has shown...
Categories: Uncategorized",BEST,PC
"banana extract
Extract from banana fruit that has some weak antioxidant properties (Source: Free Radical Research,...
Categories: Antioxidants, Plant Extracts",AVERAGE,PC
"barberry
Plant whose primary component, berberine, is an alkaloid that can have soothing properties and...
Categories: Skin-Soothing",BEST,PC
"barium sulfate
Barium sulfate is an inorganic salt that occurs in nature.
Categories: Coloring Agents/Pigments",GOOD,PC
"barley extract
Extract from barley plants. Can have antioxidant properties when ingested, but there is no research...
Categories: Plant Extracts",AVERAGE,PC
"batyl alcohol
Derived from glycerin and used as a stabilizing ingredient and skin-conditioning agent.
Categories: Emollients",GOOD,PC
"bay leaf oil
Has the potential to provide antioxidant benefits for skin…
Categories: Antioxidants, Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",POOR,PC
"bearberry extract
Latin name Arctostaphylos uva ursi, there is research showing that this extract has soothing...
Categories: Antioxidants",GOOD,PC
"bee pollen
Can have antioxidant properties (Source: Journal of Agricultural Food Chemistry, April 2001, pages...
Categories: Uncategorized",POOR,PC
"beeswax
Substance made by bees to build the walls of their honeycomb. It is a thickening agent that has...
Categories: Texture Enhancer, Emollients",GOOD,PC
"beet root extract
Powdered base of the stem (root) of the Beta vulgaris plant. Used as a coloring agent. As with most...
Categories: Antioxidants, Coloring Agents/Pigments, Plant Extracts",GOOD,PC
"beheneth-5
A synthetic or plant-derived derivative of polyethylene glycol and behenyl alcohol that functions as an emulsifier and can also be a surfactant.
Categories: Thickeners/Emulsifiers",GOOD,PC
"behenic acid
Fatty acid used as a thickening agent and surfactant.
Categories: Texture Enhancer, Cleansing Agents",GOOD,PC
"behentrimonium chloride
Skin-conditioning agent and emulsifier.
Categories: Texture Enhancer, Emollients",GOOD,PC
"behenyl alcohol
Thickening agent used in cosmetics. It is not related to irritating forms of alcohol.
Categories: Texture Enhancer",GOOD,PC
"behenyl behenate
Behenyl behenate is the wax-like ester of the fatty acid behenic acid and fatty alcohol behenyl alcohol.
Categories: Hydration, Emollients",GOOD,PC
"Bellis perennis
Categories: Plant Extracts",POOR,PC
"bentonite
Type of clay that is used as an absorbent in cosmetics. It can be drying for skin, though its...
Categories: Absorbent",GOOD,PC
"benzalkonium chloride
Used as a preservative in skincare products. There is no research showing it...
Categories: Antioxidants",AVERAGE,PC
"benzephenone-3
Also called oxybenzone, a sunscreen agent that protects skin primarily from the sun’s UVB rays and...
Categories: Sunscreen Actives",GOOD,PC
"benzoic acid
Preservative used in skincare products; it is considered less sensitizing than some other forms of...
Categories: Preservatives",GOOD,PC
"benzoin extract
Balsam resin that has some fragrant properties; it may also be sensitizing to skin…
Categories: Fragrance: Synthetic and Fragrant Plant Extracts",POOR,PC
"benzophenone
Group of compounds used in cosmetics as sunscreen agents to protect mostly from UVB radiation and...
Categories: Sunscreen Actives",GOOD,PC
"benzothonium chloride
Compound used as a preservative in cosmetics. It is generally considered less sensitizing…
Categories: Preservatives",GOOD,PC
"benzoyl peroxide
Benzoyl peroxide is considered the most effective over-the-counter topical acne treatment. Learn more.
Categories: Anti-Acne",BEST,PC
"benzyl alcohol
An organic alcohol that occurs naturally in some fruits (apricots, cranberries) and teas.
Categories: Preservatives",GOOD,PC
"benzyl salicylate
A volatile fragrance chemical with a sweet, floral odor used to impart scent to cosmetic products and perfumes.
Categories: Fragrance: Synthetic and Fragrant Plant Extracts",POOR,PC
"Berberis aristata
Categories: Plant Extracts, Antioxidants",BEST,PC
"bergamot oil
A volatile citrus oil that, when used topically, is a photosensitizer...
Categories: Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",POOR,PC
"Bertholletia excelsa extract
Categories: Antioxidants, Plant Extracts",GOOD,PC
"beta hydroxy acid
Categories: Skin-Soothing, Antioxidants, Exfoliant",BEST,PC
"Beta vulgaris root extract
Categories: Antioxidants, Coloring Agents/Pigments, Plant Extracts",GOOD,PC
"beta-carotene
Member of the carotenoid family. There are hundreds of carotenoids, including lycopene and lutein....
Categories: Antioxidants",GOOD,PC
"beta-glucan
Polysaccharide sugar derived from yeast or oats. It has some antioxidant properties and is a skin-soothing agent.
Categories: Skin-Soothing, Antioxidants",BEST,PC
"beta-sitosterol
Beta-sitosterol is a fatty acid-type ingredient derived from plants, and is similar to cholesterol...
Categories: Skin-Soothing, Plant Extracts, Skin-Replenishing",BEST,PC
"betaine
Betaine is an ingredient that works to balance skin’s hydration.
Categories: Hydration",GOOD,PC
"betaine salicylate
An ingredient derived from sugar beets that is sometimes used as an alternative to...
Categories: Exfoliant",GOOD,PC
"Betula alba
Categories: Antioxidants, Plant Extracts",GOOD,PC
"Betula alba (birch) juice
Betula alba juice is the sap from the birch tree.
Categories: Antioxidants, Plant Extracts",GOOD,PC
"BHA (beta hydroxy acid)
BHA, or beta hydroxy acid, is more commonly known as salicylic acid.
Categories: Skin-Soothing, Exfoliant, Anti-Acne",BEST,PC
"BHT
Butylated hydroxytoluene, a potent synthetic antioxidant that also has negative properties when...
Categories: Antioxidants",AVERAGE,PC
"bifida ferment lysate
Bifida ferment lysate is a probiotic ingredient derived from a specific type of yeast obtained by the fermentation of Bifida bacteria.
Categories: Miscellaneous, Hydration",BEST,PC
"bilberry extract
Some research shows bilberry (vaccinium myrtillis) to be effective as an antioxidant when ingested...
Categories: Plant Extracts",BEST,PC
"bioflavonoid
Diverse range of substances that are components of many fruits and vegetables. Many have been shown...
Categories: Antioxidants",BEST,PC
"biotin
A water-soluble substance produced in the body by certain types of...
Categories: Vitamins",GOOD,PC
"biotin/folic acid/cyanocobalamin/niacinamide/pantothenic acid/pyridoxine/riboflavin/thiamine/yeast polypeptides
A blend of several B vitamins plus peptides derived from a strain of lab-produced yeast.
Categories: Skin-Softening",BEST,PC
"birch bark extract
Extract derived from the plant Betula alba (common name white birch). It can have potent...
Categories: Antioxidants, Plant Extracts",GOOD,PC
"birch leaf extract
Categories: Antioxidants, Plant Extracts",GOOD,PC
"bis-diglyceryl polyacyladipate
Can be extracted from chamomile or derived synthetically. It is an skin-soothing ingredient.
Categories: Texture Enhancer, Emollients",GOOD,PC
